date	artist	song
4/27/63	Little Peggy March	I Will Follow Him
4/20/63	The Chiffons	He's So Fine
4/13/63	The Chiffons	He's So Fine
4/6/63	The Chiffons	He's So Fine
3/30/63	The Chiffons	He's So Fine
3/23/63	Ruby And The Romantics	Our Day Will Come
3/16/63	The 4 Seasons	Walk Like A Man
3/9/63	The 4 Seasons	Walk Like A Man
3/2/63	The 4 Seasons	Walk Like A Man
2/23/63	Paul and Paula	Hey Paula
2/16/63	Paul and Paula	Hey Paula
2/9/63	Paul and Paula	Hey Paula
2/2/63	The Rooftop Singers	Walk Right In
1/26/63	The Rooftop Singers	Walk Right In
1/19/63	Steve Lawrence	Go Away Little Girl
1/12/63	Steve Lawrence	Go Away Little Girl
1/5/63	The Tornadoes	Telstar
12/29/62	The Tornadoes	Telstar
12/22/62	The Tornadoes	Telstar
12/15/62	The 4 Seasons	Big Girls Don't Cry
12/8/62	The 4 Seasons	Big Girls Don't Cry
12/1/62	The 4 Seasons	Big Girls Don't Cry
11/24/62	The 4 Seasons	Big Girls Don't Cry
11/17/62	The 4 Seasons	Big Girls Don't Cry
11/10/62	The Crystals	He's A Rebel
11/3/62	The Crystals	He's A Rebel
10/27/62	Bobby "Boris" Pickett And The Crypt-Kickers	Monster Mash
10/20/62	Bobby "Boris" Pickett And The Crypt-Kickers"	Monster Mash
10/13/62	The 4 Seasons	Sherry
10/6/62	The 4 Seasons	Sherry
9/29/62	The 4 Seasons	Sherry
9/22/62	The 4 Seasons	Sherry
9/15/62	The 4 Seasons	Sherry
9/8/62	Tommy Roe	Sheila
9/1/62	Tommy Roe	Sheila
8/25/62	Little Eva	The Loco-Motion
8/18/62	Neil Sedaka	Breaking Up Is Hard To Do
8/11/62	Neil Sedaka	Breaking Up Is Hard To Do
8/4/62	Bobby Vinton	Roses Are Red (My Love)
7/28/62	Bobby Vinton	Roses Are Red (My Love)
7/21/62	Bobby Vinton	Roses Are Red (My Love)
7/14/62	Bobby Vinton	Roses Are Red (My Love)
7/7/62	David Rose and His Orchestra	The Stripper
6/30/62	Ray Charles	I Can't Stop Loving You
6/23/62	Ray Charles	I Can't Stop Loving You
6/16/62	Ray Charles	I Can't Stop Loving You
6/9/62	Ray Charles	I Can't Stop Loving You
6/2/62	Ray Charles	I Can't Stop Loving You
5/26/62	Mr. Acker Bilk	Stranger On The Shore
5/19/62	The Shirelles	Soldier Boy
5/12/62	The Shirelles	Soldier Boy
5/5/62	The Shirelles	Soldier Boy
4/28/62	Elvis Presley With The Jordanaires	Good Luck Charm
4/21/62	Elvis Presley With The Jordanaires	Good Luck Charm
4/14/62	Shelley Fabares	Johnny Angel
4/7/62	Shelley Fabares	Johnny Angel
3/31/62	Connie Francis	Don't Break The Heart That Loves You
3/24/62	Bruce Channel	Hey! Baby
3/17/62	Bruce Channel	Hey! Baby
3/10/62	Bruce Channel	Hey! Baby
3/3/62	Gene Chandler	Duke Of Earl
2/24/62	Gene Chandler	Duke Of Earl
2/17/62	Gene Chandler	Duke Of Earl
2/10/62	Joey Dee & the Starliters	Peppermint Twist - Part I
2/3/62	Joey Dee & the Starliters	Peppermint Twist - Part I
1/27/62	Joey Dee & the Starliters	Peppermint Twist - Part I
1/20/62	Chubby Checker	The Twist
1/13/62	Chubby Checker	The Twist
1/6/62	The Tokens	The Lion Sleeps Tonight
12/25/61	The Tokens	The Lion Sleeps Tonight
12/18/61	The Tokens	The Lion Sleeps Tonight
12/11/61	The Marvelettes	Please Mr. Postman
12/4/61	Jimmy Dean	Big Bad John
11/27/61	Jimmy Dean	Big Bad John
11/20/61	Jimmy Dean	Big Bad John
11/13/61	Jimmy Dean	Big Bad John
11/6/61	Jimmy Dean	Big Bad John
10/30/61	Dion	Runaround Sue
10/23/61	Dion	Runaround Sue
10/16/61	Ray Charles and his Orchestra	Hit The Road Jack
10/9/61	Ray Charles and his Orchestra	Hit The Road Jack
10/2/61	Bobby Vee	Take Good Care Of My Baby
9/25/61	Bobby Vee	Take Good Care Of My Baby
9/18/61	Bobby Vee	Take Good Care Of My Baby
9/11/61	The Highwaymen	Michael
9/4/61	The Highwaymen	Michael
8/28/61	Joe Dowell	Wooden Heart
8/21/61	Bobby Lewis	Tossin' And Turnin'
8/14/61	Bobby Lewis	Tossin' And Turnin'
8/7/61	Bobby Lewis	Tossin' And Turnin'
7/31/61	Bobby Lewis	Tossin' And Turnin'
7/24/61	Bobby Lewis	Tossin' And Turnin'
7/17/61	Bobby Lewis	Tossin' And Turnin'
7/10/61	Bobby Lewis	Tossin' And Turnin'
7/3/61	U.S. Bonds	Quarter To Three
6/26/61	U.S. Bonds	Quarter To Three
6/19/61	Pat Boone	Moody River
6/12/61	Ricky Nelson	Travelin' Man
6/5/61	Roy Orbison	Running Scared
5/29/61	Ricky Nelson	Travelin' Man
5/22/61	Ernie K-Doe	Mother-In-Law
5/15/61	Del Shannon	Runaway
5/8/61	Del Shannon	Runaway
5/1/61	Del Shannon	Runaway
4/24/61	Del Shannon	Runaway
4/17/61	The Marcels	Blue Moon
4/10/61	The Marcels	Blue Moon
4/3/61	The Marcels	Blue Moon
3/27/61	Elvis Presley With The Jordanaires	Surrender
3/20/61	Elvis Presley With The Jordanaires	Surrender
3/13/61	Chubby Checker	Pony Time
3/6/61	Chubby Checker	Pony Time
2/27/61	Chubby Checker	Pony Time
2/20/61	Lawrence Welk And His Orchestra	Calcutta
2/13/61	Lawrence Welk And His Orchestra	Calcutta
2/6/61	The Shirelles	Will You Love Me Tomorrow
1/30/61	The Shirelles	Will You Love Me Tomorrow
1/23/61	Bert Kaempfert And His Orchestra	Wonderland By Night
1/16/61	Bert Kaempfert And His Orchestra	Wonderland By Night
1/9/61	Bert Kaempfert And His Orchestra	Wonderland By Night
1/2/61	Elvis Presley With The Jordanaires	Are You Lonesome To-night?
12/26/60	Elvis Presley With The Jordanaires	Are You Lonesome To-night?
12/19/60	Elvis Presley With The Jordanaires	Are You Lonesome To-night?
12/12/60	Elvis Presley With The Jordanaires	Are You Lonesome To-night?
12/5/60	Elvis Presley With The Jordanaires	Are You Lonesome To-night?
11/28/60	Elvis Presley With The Jordanaires	Are You Lonesome To-night?
11/21/60	Maurice Williams & The Zodiacs	Stay
11/14/60	Ray Charles	Georgia On My Mind
11/7/60	The Drifters	Save The Last Dance For Me
10/31/60	The Drifters	Save The Last Dance For Me
10/24/60	Brenda Lee	I Want To Be Wanted
10/17/60	The Drifters	Save The Last Dance For Me
10/10/60	Larry Verne	Mr. Custer
10/3/60	Connie Francis	My Heart Has A Mind Of Its Own
9/26/60	Connie Francis	My Heart Has A Mind Of Its Own
9/19/60	Chubby Checker	The Twist
9/12/60	Elvis Presley With The Jordanaires	It's Now Or Never
9/5/60	Elvis Presley With The Jordanaires	It's Now Or Never
8/29/60	Elvis Presley With The Jordanaires	It's Now Or Never
8/22/60	Elvis Presley With The Jordanaires	It's Now Or Never
8/15/60	Elvis Presley With The Jordanaires	It's Now Or Never
8/8/60	Brian Hyland	Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini
8/1/60	Brenda Lee	I'm Sorry
7/25/60	Brenda Lee	I'm Sorry
7/18/60	Brenda Lee	I'm Sorry
7/11/60	Hollywood Argyles	Alley-Oop
7/4/60	Connie Francis	Everybody's Somebody's Fool
6/27/60	Connie Francis	Everybody's Somebody's Fool
6/20/60	The Everly Brothers	Cathy's Clown
6/13/60	The Everly Brothers	Cathy's Clown
6/6/60	The Everly Brothers	Cathy's Clown
5/30/60	The Everly Brothers	Cathy's Clown
5/23/60	The Everly Brothers	Cathy's Clown
5/16/60	Elvis Presley With The Jordanaires	Stuck On You
5/9/60	Elvis Presley With The Jordanaires	Stuck On You
5/2/60	Elvis Presley With The Jordanaires	Stuck On You
4/25/60	Elvis Presley With The Jordanaires	Stuck On You
4/18/60	Percy Faith And His Orchestra	The Theme From "A Summer Place"
4/11/60	Percy Faith And His Orchestra	The Theme From "A Summer Place"
4/4/60	Percy Faith And His Orchestra	The Theme From "A Summer Place"
3/28/60	Percy Faith And His Orchestra	The Theme From "A Summer Place"
3/21/60	Percy Faith And His Orchestra	The Theme From "A Summer Place"
3/14/60	Percy Faith And His Orchestra	The Theme From "A Summer Place"
3/7/60	Percy Faith And His Orchestra	The Theme From "A Summer Place"
2/29/60	Percy Faith And His Orchestra	The Theme From "A Summer Place"
2/22/60	Percy Faith And His Orchestra	The Theme From "A Summer Place"
2/15/60	Mark Dinning	Teen Angel
2/8/60	Mark Dinning	Teen Angel
2/1/60	Johnny Preston	Running Bear
1/25/60	Johnny Preston	Running Bear
1/18/60	Johnny Preston	Running Bear
1/11/60	Marty Robbins	El Paso
1/4/60	Marty Robbins	El Paso
12/28/59	Frankie Avalon	Why
12/21/59	Guy Mitchell	Heartaches By The Number
12/14/59	Guy Mitchell	Heartaches By The Number
12/7/59	Bobby Darin	Mack The Knife
11/30/59	Bobby Darin	Mack The Knife
11/23/59	Bobby Darin	Mack The Knife
11/16/59	The Fleetwoods	Mr. Blue
11/9/59	Bobby Darin	Mack The Knife
11/2/59	Bobby Darin	Mack The Knife
10/26/59	Bobby Darin	Mack The Knife
10/19/59	Bobby Darin	Mack The Knife
10/12/59	Bobby Darin	Mack The Knife
10/5/59	Bobby Darin	Mack The Knife
9/28/59	Santo & Johnny	Sleep Walk
9/21/59	Santo & Johnny	Sleep Walk
9/14/59	The Browns	The Three Bells
9/7/59	The Browns	The Three Bells
8/31/59	The Browns	The Three Bells
8/24/59	The Browns	The Three Bells
8/17/59	Elvis Presley With The Jordanaires	A Big Hunk O' Love
8/10/59	Elvis Presley With The Jordanaires	A Big Hunk O' Love
8/3/59	Paul Anka	Lonely Boy
7/27/59	Paul Anka	Lonely Boy
7/20/59	Paul Anka	Lonely Boy
7/13/59	Paul Anka	Lonely Boy
7/6/59	Johnny Horton	The Battle Of New Orleans
6/29/59	Johnny Horton	The Battle Of New Orleans
6/22/59	Johnny Horton	The Battle Of New Orleans
6/15/59	Johnny Horton	The Battle Of New Orleans
6/8/59	Johnny Horton	The Battle Of New Orleans
6/1/59	Johnny Horton	The Battle Of New Orleans
5/25/59	Wilbert Harrison	Kansas City
5/18/59	Wilbert Harrison	Kansas City
5/11/59	Dave "Baby" Cortez	The Happy Organ
5/4/59	The Fleetwoods	Come Softly To Me
4/27/59	The Fleetwoods	Come Softly To Me
4/20/59	The Fleetwoods	Come Softly To Me
4/13/59	The Fleetwoods	Come Softly To Me
4/6/59	Frankie Avalon	Venus
3/30/59	Frankie Avalon	Venus
3/23/59	Frankie Avalon	Venus
3/16/59	Frankie Avalon	Venus
3/9/59	Frankie Avalon	Venus
3/2/59	Lloyd Price	Stagger Lee
2/23/59	Lloyd Price	Stagger Lee
2/16/59	Lloyd Price	Stagger Lee
2/9/59	Lloyd Price	Stagger Lee
2/2/59	The Platters	Smoke Gets In Your Eyes
1/26/59	The Platters	Smoke Gets In Your Eyes
1/19/59	The Platters	Smoke Gets In Your Eyes
1/12/59	The Chipmunks With David Seville	The Chipmunk Song
1/5/59	The Chipmunks With David Seville	The Chipmunk Song
12/29/58	The Chipmunks With David Seville	The Chipmunk Song
12/22/58	The Chipmunks With David Seville	The Chipmunk Song
12/15/58	The Teddy Bears	To Know Him, Is To Love Him
12/8/58	The Teddy Bears	To Know Him, Is To Love Him
12/1/58	The Teddy Bears	To Know Him, Is To Love Him
11/24/58	Conway Twitty	It's Only Make Believe
11/17/58	The Kingston Trio	Tom Dooley
11/10/58	Conway Twitty	It's Only Make Believe
11/3/58	Tommy Edwards	It's All In The Game
10/27/58	Tommy Edwards	It's All In The Game
10/20/58	Tommy Edwards	It's All In The Game
10/13/58	Tommy Edwards	It's All In The Game
10/6/58	Tommy Edwards	It's All In The Game
9/29/58	Tommy Edwards	It's All In The Game
9/22/58	Domenico Modugno	Nel Blu Dipinto Di Blu (Volaré)
9/15/58	Domenico Modugno	Nel Blu Dipinto Di Blu (Volaré)
9/8/58	Domenico Modugno	Nel Blu Dipinto Di Blu (Volaré)
9/1/58	Domenico Modugno	Nel Blu Dipinto Di Blu (Volaré)
8/25/58	The Elegants	Little Star
8/18/58	Domenico Modugno	Nel Blu Dipinto Di Blu (Volaré)
8/11/58	Ricky Nelson	Poor Little Fool
8/4/58	Ricky Nelson	Poor Little Fool
